eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
88,component,"Generator, Auxiliary Motor or Motor",,,IEEE C37.2 device no.,
89,component,"Switch, Line",,,IEEE C37.2 device no.,
90,component,Regulating Device,,,IEEE C37.2 device no.,
91,component,"Relay, Voltage Directional 14 IEEE",,,IEEE C37.2 device no.,
93,component,"Contactor, Field Changing",,,IEEE C37.2 device no.,
94,component,"Relay, Tripping",,,IEEE C37.2 device no.,
95,component,"Relay, Phase Discordance Handling Unit",,,IEEE C37.2 device no.,
AA,component,"Alarm, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Control Rod Drive System)
AB,component,"Isolator, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Reactor Coolant System (PWR))
ABLR,component,"Boiler, Auxiliary",,,IEEE 803.1-1992,
ABS,component,Absorber,,,IEEE 803.1-1992,
AC,component,"Control, Analyzer",,,ISA S5.1-1984,code also a SYSTEM (Reactor Core System)
ACC,component,Accumulator,,,IEEE 803.1-1992,
ACO,component,"Control Operator, Analyzer",,,IEEE 803.1-1992,
ACU,component,Packaged HVAC Assembly (See: A/C Unit),,,IEEE 803.1-1992,
ACV,component,"Valve, Control, Analyzer",,,ISA S5.1-1984,
ADJ,component,"Adjuster, Rod",,,IEEE 803.1-1992,
ADS,component,Adsorber,,,IEEE 803.1-1992,
AE,component,"Primary Element, Analyzer",,,ISA S5.1-1984,
AER,component,Aerator,,,IEEE 803.1-1992,
AFRG,component,"Regulator, Air Filter",,,IEEE 803.1-1992,
AGT,component,Agitator,,,IEEE 803.1-1992,
AHU,component,Heating and Ventilating Unit (See: Air,,,IEEE 803.1-1992,
AI,component,"Indicator, Analyzer",,,ISA S5.1-1984,
AIC,component,"Control, Indicating, Analyzer",,,ISA S5.1-1984,
AIK,component,"Control Station, Indicating, Analyzer",,,ISA S5.1-1984,
AIR,component,"Recorder, Indicating, Analyzer",,,ISA S5.1-1984,
AIS,component,"Switch, Indicating, Analyzer",,,ISA S5.1-1984,
AIT,component,"Transmitter, Indicating, Analyzer",,,ISA S5.1-1984,
AITS,component,"Switch, Transmitting, Indicating, Analyzer",,,IEEE 803.1-1992,
AL,component,Air Lock,,,IEEE 803.1-1992,
ALM,component,Alarm,,,IEEE 803.1-1992,
ALT,component,Alternater,,,IEEE 803.1-1992,
AM,component,"Modifier, Analyzer",,,IEEE 803.1-1992,
AMP,component,Amplifier,,,IEEE 803.1-1992,
ANC,component,Anchor,,,IEEE 803.1-1992,
ANN,component,Whistle (See: Annunciator),,,IEEE 803.1-1992,
ANO,component,Anode,,,IEEE 803.1-1992,
ANT,component,Antenna,,,IEEE 803.1-1992,
APHT,component,Air Preheater (Gas to Air),,,IEEE 803.1-1992,
AR,component,"Recorder, Analyzer",,,ISA S5.1-1984,
ARC,component,"Control, Recording, Analyzer",,,ISA S5.1-1984,
ARK,component,"Control Station, Recording, Analyzer",,,ISA S5.1-1984,
AS,component,"Switch, Analyzer Than 30 A",,,ISA S5.1-1984,
ASU,component,"Switching Unit, Automatic IEEE",,,IEEE 803.1-1992,
ASV,component,"Valve, Solenoid, Analyzer",,,IEEE 803.1-1992,
AT,component,"Transmitter, Analyzer",,,ISA S5.1-1984,
ATM,component,Attemperator,,,IEEE 803.1-1992,
ATT,component,Attenuator,,,IEEE 803.1-1992,
AY,component,"Relay, Analyzer",,,IEEE 803.1-1992,
BAF,component,Baffle,,,IEEE 803.1-1992,
BAGH,component,Baghouse,,,IEEE 803.1-1992,
BALR,component,Balancer,,,IEEE 803.1-1992,
BAR,component,Barometer,,,IEEE 803.1-1992,
BCS,component,Battery (State of Charge) Condition Sensor,,,IEEE 803.1-1992,
BD,component,Board (Panel),,,IEEE 803.1-1992,code also a SYSTEM (Containment Leakage Control System)
BDMP,component,"Damper, Blocking",,,IEEE 803.1-1992,
BDUC,component,"Duct, Bus",,,IEEE 803.1-1992,
BE,component,"Primary Element, Burner",,,ISA S5.1-1984,code also a SYSTEM (Containment Spray System (PWR))
BEAM,component,Beam,,,IEEE 803.1-1992,
BERM,component,Berm,,,IEEE 803.1-1992,
BFP,component,Backflow Preventer,,,IEEE 803.1-1992,
BHD,component,Bulkhead,,,IEEE 803.1-1992,
BKR,component,Breaker,,,IEEE 803.1-1992,
BLDG,component,Building,,,IEEE 803.1-1992,
BLK,component,Block,,,IEEE 803.1-1992,
BLL,component,Bellows,,,IEEE 803.1-1992,
BLO,component,Blower,,,IEEE 803.1-1992,
BLR,component,Boiler,,,IEEE 803.1-1992,
BLS,component,Ballast,,,IEEE 803.1-1992,
BM,component,Brine Maker,,,IEEE 803.1-1992,code also a SYSTEM (Low Pressure Core Spray System (BWR))
BNR,component,Burner,,,IEEE 803.1-1992,
BRAC,component,Brace,,,IEEE 803.1-1992,
BRDG,component,"Bridge, Structural",,,IEEE 803.1-1992,
BRK,component,Brake,,,IEEE 803.1-1992,
BSKT,component,Basket,,,IEEE 803.1-1992,
BTM,component,Burner Tilt Mechanism,,,IEEE 803.1-1992,
BTRY,component,Battery,,,IEEE 803.1-1992,
BU,component,Bus,,,IEEE 803.1-1992,
BUF,component,Buffer (Isolator) Device,,,IEEE 803.1-1992,
BYBD,component,"Board, Battery",,,IEEE 803.1-1992,
BYC,component,"Charger, Battery",,,IEEE 803.1-1992,
CA,component,"Alarm, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Boron Recycle System (PWR))
CAB,component,Cabinet,,,IEEE 803.1-1992,
CAL,component,Calorimeter,,,IEEE 803.1-1992,
CAP,component,Capacitor,,,IEEE 803.1-1992,
CB,component,"Isolator, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Chemical and Volume Control/Makeup and Purification System (WR))
CBD,component,"Board, Control",,,IEEE 803.1-1992,
CBL,component,Cable,,,IEEE 803.1-1992,
CBL1,component,"Cable, Low-Level Signal",,,IEEE 803.1-1992,
CBL2,component,"Cable, Medium-Level Signal",,,IEEE 803.1-1992,
CBL3,component,"Cable, Control and Low-Voltage PWR Less",,,IEEE 803.1-1992,
CBL4,component,"Cable, Low-Voltage Power 15",,,IEEE 803.1-1992,
CBL5,component,"Cable, Medium-Voltage Power",,,IEEE 803.1-1992,
CBST,component,Combustor,,,IEEE 803.1-1992,
CC,component,"Control, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Closed/Component Cooling Water System)
CCL,component,"Coil, Cooling",,,IEEE 803.1-1992,
CCO,component,"Control Operator, Conductivity",,,IEEE 803.1-1992,
CCV,component,"Valve, Control, Conductivity",,,IEEE 803.1-1992,
CDA,component,"Analyzer, Conductivity",,,IEEE 803.1-1992,
CDMP,component,"Damper, Control",,,IEEE 803.1-1992,
CDT,component,Condulet,,,IEEE 803.1-1992,
CDU,component,Condensing Unit,,,IEEE 803.1-1992,
CDUC,component,Duct Cable,,,IEEE 803.1-1992,
CE,component,"Primary Element, Conductivity",,,ISA S5.1-1984,code also a SYSTEM (Reactor Water Cleanup System (BWR))
CEN,component,Centrifuge,,,IEEE 803.1-1992,
CGEN,component,Chemical Generator,,,IEEE 803.1-1992,
CHA,component,Channel,,,IEEE 803.1-1992,
CHIM,component,Stack (See: Chimney),,,IEEE 803.1-1992,
CHL,component,Chlorinator,,,IEEE 803.1-1992,
CHMA,component,"Analyzer, Chemical",,,IEEE 803.1-1992,
CHT,component,Chute,,,IEEE 803.1-1992,
CHTR,component,"Heater, Combustion",,,IEEE 803.1-1992,
CHU,component,Chiller Unit,,,IEEE 803.1-1992,
CI,component,"Indicator, Conductivity",,,ISA S5.1-1984,
CIC,component,"Control, Indicating, Conductivity",,,ISA S5.1-1984,
CIK,component,"Control Station, Indicating, Conductivity",,,ISA S5.1-1984,
CIS,component,"Switch, Indicating, Conductivity",,,ISA S5.1-1984,
CIT,component,"Transmitter, Indicating, Conductivity",,,ISA S5.1-1984,
CKV,component,"Valve, Check",,,IEEE 803.1-1992,
CL,component,Coil,,,IEEE 803.1-1992,
CLF,component,Clarifier,,,IEEE 803.1-1992,
CLM,component,"Column, Chemical Process",,,IEEE 803.1-1992,
CLN,component,Calciner,,,IEEE 803.1-1992,
CLR,component,Cooler,,,IEEE 803.1-1992,
CLS,component,Classifier,,,IEEE 803.1-1992,
CLU,component,Clutch,,,IEEE 803.1-1992,
CLW,component,Clearwell,,,IEEE 803.1-1992,
CM,component,"Modifier, Conductivity",,,IEEE 803.1-1992,
CMP,component,Compressor,,,IEEE 803.1-1992,
CND,component,Conduit,,,IEEE 803.1-1992,
CNL,component,Canal,,,IEEE 803.1-1992,
CNTR,component,Contactor,,,IEEE 803.1-1992,
CNV,component,Converter,,,IEEE 803.1-1992,
CNVR,component,Conveyor,,,IEEE 803.1-1992,
COAG,component,Coagulator,,,IEEE 803.1-1992,
COL,component,Collector,,,IEEE 803.1-1992,
COLM,component,Column,,,IEEE 803.1-1992,
COMP,component,Compensator,,,IEEE 803.1-1992,
CON,component,Connector,,,IEEE 803.1-1992,
COND,component,Condenser,,,IEEE 803.1-1992,
CPL,component,Coupler,,,IEEE 803.1-1992,
CPLG,component,Coupling,,,IEEE 803.1-1992,
CPOS,component,"Positioner, Car (RR)",,,IEEE 803.1-1992,
CPR,component,Compandor,,,IEEE 803.1-1992,
CPT,component,Compactor,,,IEEE 803.1-1992,
CPU,component,Computer,,,IEEE 803.1-1992,
CR,component,"Recorder, Conductivity",,,ISA S5.1-1984,
CRC,component,"Control, Recording, Conductivity",,,ISA S5.1-1984,
CRK,component,"Control Station, Recording, Conductivity",,,IEEE 803.1-1992,
CRN,component,Crane (See: Bridge),,,IEEE 803.1-1992,
CRSH,component,Crusher,,,IEEE 803.1-1992,
CRT,component,Cathode Ray Tube,,,IEEE 803.1-1992,
CS,component,"Switch, Conductivity",,,ISA S5.1-1984,
CSL,component,Console,,,IEEE 803.1-1992,
CSV,component,"Valve, Solenoid, Conductivity",,,IEEE 803.1-1992,
CT,component,"Transmitter, Conductivity",,,ISA S5.1-1984,
CTB,component,"Bath, Constant Temperature",,,IEEE 803.1-1992,
CTR,component,Counter,,,IEEE 803.1-1992,
CTW,component,Cooling Tower,,,IEEE 803.1-1992,
CULV,component,Culvert,,,IEEE 803.1-1992,
CYCL,component,Cyclone,,,IEEE 803.1-1992,
DAL,component,Data Logger,,,IEEE 803.1-1992,
DAM,component,Dam,,,IEEE 803.1-1992,
DBLK,component,"Block, Disconnect",,,IEEE 803.1-1992,
DCB,component,Decarbonator,,,IEEE 803.1-1992,
DCC,component,"Controller, Digital Computer",,,IEEE 803.1-1992,
DCL,component,"Coil, Drain",,,IEEE 803.1-1992,
DCOL,component,"Collector, Dust",,,IEEE 803.1-1992,
DEA,component,Deaerator,,,IEEE 803.1-1992,
DEC,component,Decoder,,,IEEE 803.1-1992,
DEM,component,Demodulator,,,IEEE 803.1-1992,
DENA,component,"Analyzer, Density",,,IEEE 803.1-1992,
DET,component,Detector,,,IEEE 803.1-1992,
DG,component,"Generator, Diesel",,,IEEE 803.1-1992,
DGS,component,Degasifier,,,IEEE 803.1-1992,
DHU,component,Dehumidifier,,,IEEE 803.1-1992,
DID,component,Data Input Device,,,IEEE 803.1-1992,
DIF,component,Diffuser,,,IEEE 803.1-1992,
DIKE,component,Dike,,,IEEE 803.1-1992,
DISC,component,Disconnect,,,IEEE 803.1-1992,
DISP,component,Dispenser,,,IEEE 803.1-1992,
DL,component,Dock Leveller,,,IEEE 803.1-1992,
DM,component,Demineralizer (Chemical Driver),,,IEEE 803.1-1992,
DMP,component,Damper,,,IEEE 803.1-1992,
DMST,component,Demister 16 IEEE,,,IEEE 803.1-1992,
DMTR,component,"Meter, Demand",,,IEEE 803.1-1992,
DPT,component,Dashpot,,,IEEE 803.1-1992,
DR,component,Door,,,IEEE 803.1-1992,"code also a SYSTEM (Fuel Oil Receiving Storage, and Transfer System)"
DRIV,component,Drive,,,IEEE 803.1-1992,
DRN,component,Drain,,,IEEE 803.1-1992,
DRY,component,Dryer,,,IEEE 803.1-1992,
DS,component,Drainage Structure,,,IEEE 803.1-1992,
DSH,component,Desuperheater,,,IEEE 803.1-1992,
DSU,component,Data Storage Unit,,,IEEE 803.1-1992,
DTR,component,Distributor,,,IEEE 803.1-1992,
DUCT,component,Plennum (See: Duct),,,IEEE 803.1-1992,
DUMP,component,Dumper,,,IEEE 803.1-1992,
DV,component,"Valve, Diverter",,,IEEE 803.1-1992,
EA,component,"Alarm, Voltage",,,ISA S5.1-1984,code also a SYSTEM (Medium-Voltage Power System (601V through 35 kV))
EB,component,"Isolator, Voltage",,,ISA S5.1-1984,code also a SYSTEM (Medium-Voltage Power System—Class 1E)
EBU,component,"Bus, Earth or (Instrument Station)",,,IEEE 803.1-1992,
EC,component,"Control, Voltage",,,ISA S5.1-1984,code also a SYSTEM (Low-Voltage Power System (600V and less))
ECBD,component,"Board, Electrical Control",,,IEEE 803.1-1992,
ECD,component,Encoder,,,IEEE 803.1-1992,
ECON,component,Economizer,,,IEEE 803.1-1992,
EDC,component,Encoder/Decoder,,,IEEE 803.1-1992,
EDR,component,Eductor,,,IEEE 803.1-1992,
EE,component,"Primary Element, Voltage",,,ISA S5.1-1984,code also a SYSTEM (Instrument and Uninterruptible Power System)
EHTR,component,"Heater, Electric Resistance",,,IEEE 803.1-1992,
EI,component,"Voltmeter (See: Indicator, Voltage)",,,ISA S5.1-1984,code also a SYSTEM (DC Power System)
EIC,component,"Control, Indicating, Voltage",,,ISA S5.1-1984,
EIK,component,"Control Station, Indicating, Voltage",,,ISA S5.1-1984,
EIS,component,"Switch, Indicating, Voltage",,,ISA S5.1-1984,
EIT,component,"Transmitter, Indicating, Voltage",,,ISA S5.1-1984,
EJR,component,Ejector,,,IEEE 803.1-1992,
ELEV,component,Manlift (See: Elevator),,,IEEE 803.1-1992,
EM,component,"Modifier, Voltage",,,IEEE 803.1-1992,
ENCL,component,Enclosure,,,IEEE 803.1-1992,
ENG,component,Engine,,,IEEE 803.1-1992,
EQ,component,"Totalizer, Voltage",,,ISA S5.1-1984,
ER,component,"Recorder, Voltage",,,ISA S5.1-1984,
ERC,component,"Control, Recording, Voltage",,,ISA S5.1-1984,
ET,component,"Transmitter, Voltage",,,ISA S5.1-1984,
EVP,component,Evaporator,,,ISA S5.1-1984,
EXC,component,Exciter,,,IEEE 803.1-1992,
EXH,component,Exhauster,,,IEEE 803.1-1992,
EXJ,component,Expansion Joint,,,IEEE 803.1-1992,
EXP,component,Expander IEEE,,,IEEE 803.1-1992,
EXPD,component,"Detector, Substance, Explosive",,,IEEE 803.1-1992,
EYW,component,Eyewash,,,IEEE 803.1-1992,
FA,component,"Alarm, Flow",,,ISA S5.1-1984,code also a SYSTEM (Cable Raceway System)
FAN,component,Fan,,,IEEE 803.1-1992,
FAR,component,"Arrestor, Flame",,,IEEE 803.1-1992,
FB,component,"Isolator, Flow",,,ISA S5.1-1984,code also a SYSTEM (Cathodic Protection System)
FC,component,"Control, Flow",,,ISA S5.1-1984,code also a SYSTEM (Grounding and Lightning Protection System)
FCO,component,"Control Operator, Flow",,,IEEE 803.1-1992,
FCON,component,"Connector, Flexible",,,IEEE 803.1-1992,
FCU,component,Fan Coil Unit,,,IEEE 803.1-1992,
FCV,component,"Valve, Control, Flow",,,ISA S5.1-1984,
FDM,component,"Demineralizer, Filter",,,IEEE 803.1-1992,
FDN,component,Foundation,,,IEEE 803.1-1992,
FDR,component,Feeder,,,IEEE 803.1-1992,
FE,component,"Primary Element, Flow",,,ISA S5.1-1984,code also a SYSTEM (Heat Tracing System—Class 1E)
FENC,component,Fence,,,IEEE 803.1-1992,
FEXT,component,"Extinguisher, Fire",,,IEEE 803.1-1992,
FFA,component,"Alarm, Flow (Ratio)",,,ISA S5.1-1984,
FFB,component,"Isolator, Flow (Ratio)",,,ISA S5.1-1984,
FFC,component,"Control, Flow (Ratio)",,,ISA S5.1-1984,
FFI,component,"Indicator, Flow (Ratio)",,,ISA S5.1-1984,
FFM,component,"Modifier, Flow (Ratio)",,,IEEE 803.1-1992,
FFR,component,"Recorder, Flow (Ratio)",,,ISA S5.1-1984,
FFS,component,"Switch, Flow (Ratio)",,,ISA S5.1-1984,
FFT,component,"Transmitter, Flow (Ratio)",,,ISA S5.1-1984,
FG,component,"Sight Glass, Flow",,,ISA S5.1-1984,code also a SYSTEM (Standby AC Lighting System)
FHM,component,Fuel Handling Machine,,,IEEE 803.1-1992,
FI,component,"Indicator, Flow",,,ISA S5.1-1984,code also a SYSTEM (Communications System)
FIC,component,"Control, Indicating, Flow",,,ISA S5.1-1984,
FIK,component,"Control Station, Indicating, Flow",,,ISA S5.1-1984,
FILL,component,Fill,,,IEEE 803.1-1992,
FIS,component,"Switch, Indicating, Flow",,,ISA S5.1-1984,
FIT,component,"Transmitter, Indicating, Flow",,,ISA S5.1-1984,
FLBX,component,"Box, Flash",,,IEEE 803.1-1992,
FLOC,component,Floculator,,,IEEE 803.1-1992,
FLR,component,Flare,,,IEEE 803.1-1992,
FLT,component,Filter,,,IEEE 803.1-1992,
FM,component,"Modifier, Flow",,,IEEE 803.1-1992,
FMB,component,Fueling Machine Bridge,,,IEEE 803.1-1992,
FMH,component,Fueling Machine Head,,,IEEE 803.1-1992,
FNT,component,Fountain,,,IEEE 803.1-1992,
FQ,component,"Totalizer, Flow",,,ISA S5.1-1984,
FQA,component,"Alarm, Flow (Totalized)",,,ISA S5.1-1984,
FQB,component,"Isolator, Flow (Totalized)",,,ISA S5.1-1984,
FQI,component,"Indicator, Flow (Totalized)",,,ISA S5.1-1984,
FQIS,component,"Switch, Indicating, Totalizing, Flow 17",,,IEEE 803.1-1992,
FQM,component,"Modifier, Flow (Totalized)",,,ISA S5.1-1984,
FQR,component,"Recorder, Flow (Totalized)",,,ISA S5.1-1984,
FQS,component,"Switch, Flow (Totalized)",,,ISA S5.1-1984,
FQT,component,"Transmitter, Flow (Totalized)",,,ISA S5.1-1984,
FR,component,"Recorder, Flow",,,ISA S5.1-1984,
FRA,component,"Alarm, Fire",,,IEEE 803.1-1992,
FRC,component,"Control, Recording, Flow",,,ISA S5.1-1984,
FRK,component,"Control Station, Recording, Flow",,,ISA S5.1-1984,
FRM,component,Frame,,,IEEE 803.1-1992,
FS,component,"Switch, Flow",,,ISA S5.1-1984,
FSV,component,"Valve, Solenoid, Flow",,,IEEE 803.1-1992,
FT,component,"Transmitter, Flow",,,ISA S5.1-1984,
FU,component,Fuse,,,IEEE 803.1-1992,
FUB,component,Fuse Block,,,IEEE 803.1-1992,
FUBX,component,"Box, Fuse",,,IEEE 803.1-1992,
FURN,component,Oven (See: Furnace),,,IEEE 803.1-1992,
GATE,component,Gate,,,IEEE 803.1-1992,
GBM,component,Gas Bottles and Manifold,,,IEEE 803.1-1992,
GBU,component,"Bus, Ground",,,IEEE 803.1-1992,
GCON,component,"Connector, Ground (Communications)",,,IEEE 803.1-1992,
GDET,component,"Detector, Ground",,,IEEE 803.1-1992,
GDR,component,Guard Rail,,,IEEE 803.1-1992,
GEN,component,Generator,,,IEEE 803.1-1992,
GFI,component,"Interrupter, Ground Fault Circuit",,,IEEE 803.1-1992,
GI,component,"Indicator, Ground",,,IEEE 803.1-1992,
GR,component,Gear,,,IEEE 803.1-1992,
GRL,component,Grille,,,IEEE 803.1-1992,
GSF,component,Gasifier,,,IEEE 803.1-1992,
H,component,Hanger,,,IEEE 803.1-1992,
HC,component,"Control, Hand",,,ISA S5.1-1984,
HCAB,component,"Cabinet, Hose, Fire",,,IEEE 803.1-1992,
HCL,component,"Coil, Heating",,,IEEE 803.1-1992,
HCO,component,"Control Operator, Hand",,,IEEE 803.1-1992,
HCU,component,Hydraulic Control Unit,,,IEEE 803.1-1992,
HCV,component,"Valve, Control Hand",,,IEEE 803.1-1992,
HH,component,Hand Hole,,,IEEE 803.1-1992,
HIC,component,"Control, Indicating, Hand",,,ISA S5.1-1984,
HIS,component,"Switch, Indicating, Hand",,,ISA S5.1-1984,
HOI,component,Hoist,,,IEEE 803.1-1992,
HOSE,component,Hose,,,IEEE 803.1-1992,
HPMP,component,"Pump, Heat",,,IEEE 803.1-1992,
HPR,component,Hopper,,,IEEE 803.1-1992,
HR,component,"Reel, Hose, Fire",,,IEEE 803.1-1992,
HS,component,"Switch, Hand",,,ISA S5.1-1984,
HST,component,Handset/Headset,,,IEEE 803.1-1992,
HU,component,Humidifier,,,IEEE 803.1-1992,
HX,component,"Radiator (See: Exchanger, Heat)",,,IEEE 803.1-1992,
HYD,component,Hydrant,,,IEEE 803.1-1992,
HZM,component,"Meter, Frequency (Hertz)",,,IEEE 803.1-1992,
HZR,component,"Recorder, Frequency",,,IEEE 803.1-1992,
IA,component,"Alarm, Current",,,ISA S5.1-1984,code also a SYSTEM (Security System)
IB,component,"Isolator, Current",,,ISA S5.1-1984,code also a SYSTEM (Annunciator System)
IC,component,"Control, Current",,,ISA S5.1-1984,code also a SYSTEM (Fire Detection System)
ICOM,component,Intercom,,,IEEE 803.1-1992,
IDBX,component,"Box, Intrusion Detector (Premise)",,,IEEE 803.1-1992,
IE,component,"Primary Element, Current",,,ISA S5.1-1984,
IEL,component,"Interlock, Electrical",,,IEEE 803.1-1992,
IGN,component,Ignitor,,,IEEE 803.1-1992,
II,component,"Indicator, Current",,,ISA S5.1-1984,code also a SYSTEM (Loose Parts Monitoring System)
IIC,component,"Control, Indicating, Current",,,ISA S5.1-1984,
IIK,component,"Control Station, Indicating, Current",,,IEEE 803.1-1992,
IIS,component,"Switch, Indicating, Current",,,ISA S5.1-1984,
IIT,component,"Transmitter, Indicating, Current",,,ISA S5.1-1984,
IL,component,"Light, Indicator",,,IEEE 803.1-1992,code also a SYSTEM (Radiation Monitoring System)
IM,component,"Modifier, Current",,,IEEE 803.1-1992,code also a SYSTEM (Temperature Monitoring System)
IMEC,component,"Interlock, Mechanical",,,IEEE 803.1-1992,
IMOD,component,"Module, Instrument",,,IEEE 803.1-1992,
INCN,component,Incinerator,,,IEEE 803.1-1992,
INRT,component,"Inerter, Pulverizer",,,IEEE 803.1-1992,
INS,component,Insulator,,,IEEE 803.1-1992,
INV,component,"Valve, Injection",,,IEEE 803.1-1992,
INVT,component,Inverter,,,IEEE 803.1-1992,
IPBU,component,"Bus, Isolated Phase",,,IEEE 803.1-1992,
IQ,component,"Totalizer, Current",,,ISA S5.1-1984,code also a SYSTEM (Sequence of Events Monitoring System)
IR,component,"Recorder, Current",,,ISA S5.1-1984,code also a SYSTEM (Television System)
IRC,component,"Control, Recording, Current",,,ISA S5.1-1984,
IS,component,"Switch, Current",,,ISA S5.1-1984,code also a SYSTEM (Environmental/Meteorological Monitoring System (Ex PLT))
ISL,component,Insulation,,,IEEE 803.1-1992,
ISV,component,"Valve, Isolation",,,IEEE 803.1-1992,
IT,component,"Transmitter, Current",,,ISA S5.1-1984,code also a SYSTEM (Main Turbine Instrumentation System)
IX,component,"Deionizer (See: Exchanger, Ion)",,,IEEE 803.1-1992,
JA,component,"Alarm, Power",,,ISA S5.1-1984,code also a SYSTEM (Integrated Control System)
JBX,component,"Box, Junction",,,IEEE 803.1-1992,
JC,component,"Control, Power",,,ISA S5.1-1984,code also a SYSTEM (Plant Protection System)
JI,component,"Wattmeter (See: Indicator, Power)",,,ISA S5.1-1984,code also a SYSTEM (Turbine Steam Bypass Control System)
JIC,component,"Control, Indicating, Power",,,ISA S5.1-1984,
JIK,component,"Control Station, Indicating, Power",,,ISA S5.1-1984,
JM,component,"Modifier, Power",,,IEEE 803.1-1992,code also a SYSTEM (Containment Isolation Control System)
JR,component,"Recorder, Power 18 IEEE",,,ISA S5.1-1984,
JRC,component,"Control, Recording, Power",,,ISA S5.1-1984,
JS,component,"Switch, Power",,,ISA S5.1-1984,
JT,component,"Transmitter, Power",,,ISA S5.1-1984,
JWHQ,component,"Totalizer, Power Watthour",,,IEEE 803.1-1992,
JWHT,component,"Transmitter, Power Watthour",,,IEEE 803.1-1992,
JX,component,"Power Supply, Electric",,,IEEE 803.1-1992,
KBD,component,Keyboard,,,IEEE 803.1-1992,
KI,component,"Indicator, Time",,,ISA S5.1-1984,code also a SYSTEM (Raw Water Makeup System)
KIS,component,"Switch, Indicating, Time",,,ISA S5.1-1984,
KPU,component,Kitchen Unit,,,IEEE 803.1-1992,
KQ,component,"Totalizer, Time",,,ISA S5.1-1984,code also a SYSTEM (Fire Protection System (Chemical))
KQI,component,"Indicator, Time (Totalized)",,,ISA S5.1-1984,
KQT,component,"Transmitter, Time (Totalized)",,,ISA S5.1-1984,
LA,component,"Alarm, Level",,,ISA S5.1-1984,code also a SYSTEM (Diesel Lube Oil System)
LADR,component,Ladder,,,IEEE 803.1-1992,
LAR,component,"Arrestor, Lightning",,,IEEE 803.1-1992,
LB,component,"Isolator, Level",,,ISA S5.1-1984,code also a SYSTEM (Diesel Cooling Water System)
LC,component,"Control, Level",,,ISA S5.1-1984,code also a SYSTEM (Diesel Generator Starting Air System)
LCO,component,"Control Operator, Level",,,IEEE 803.1-1992,
LCV,component,"Valve, Control, Level",,,ISA S5.1-1984,
LDC,component,Load Cell,,,IEEE 803.1-1992,
LDS,component,Loudspeaker,,,IEEE 803.1-1992,
LE,component,"Primary Element, Level",,,ISA S5.1-1984,code also a SYSTEM (Essential Air System)
LF,component,Lighting Fixture,,,IEEE 803.1-1992,code also a SYSTEM (Service Air System)
LFS,component,Lift Station,,,IEEE 803.1-1992,
