eiis_code,type,canonical_name,reactor_scope,acronyms,source_standard,notes
LG,component,"Sight Glass, Level",,,ISA S5.1-1984,code also a SYSTEM (Welding Gas System)
LI,component,"Indicator, Level",,,ISA S5.1-1984,
LIC,component,"Control, Indicating, Level",,,ISA S5.1-1984,
LIK,component,"Control Station, Indicating, Level",,,ISA S5.1-1984,
LIS,component,"Switch, Indicating, Level",,,ISA S5.1-1984,
LIT,component,"Transmitter, Indicating, Level",,,ISA S5.1-1984,
LIX,component,Lixator,,,IEEE 803.1-1992,
LM,component,"Modifier, Level",,,ISA S5.1-1984,code also a SYSTEM (Lube Oil Storage and Transfer System)
LNR,component,Liner,,,IEEE 803.1-1992,
LOV,component,"Valve, Leakoff",,,IEEE 803.1-1992,
LR,component,"Recorder, Level",,,ISA S5.1-1984,code also a SYSTEM (Material and Equipment Handling System)
LRC,component,"Control, Recording, Level (Unit Start or Cable)",,,ISA S5.1-1984,
LRK,component,"Control Station, Recording, Level",,,ISA S5.1-1984,
LS,component,"Switch, Level",,,ISA S5.1-1984,code also a SYSTEM (Plant Shop System)
LSV,component,"Valve, Solenoid, Level",,,IEEE 803.1-1992,
LT,component,"Transmitter, Level",,,ISA S5.1-1984,code also a SYSTEM (Record Storage System)
LTU,component,Line Tuning Unit,,,IEEE 803.1-1992,
LU,component,Lubricator,,,IEEE 803.1-1992,code also a SYSTEM (Yard Handling and Maintenance System)
LV,component,Louver,,,IEEE 803.1-1992,code also a SYSTEM (Plant Hot Water System)
MA,component,"Alarm, Moisture",,,IEEE 803.1-1992,code also a SYSTEM (Administration Building)
MAG,component,Magnet IEEE,,,IEEE 803.1-1992,
MB,component,"Isolator, Moisture",,,IEEE 803.1-1992,code also a SYSTEM (Industrial/Sanitary Waste Treatment Building)
MBX,component,"Box, Motor Terminal",,,IEEE 803.1-1992,
MC,component,"Control, Moisture",,,ISA S5.1-1984,code also a SYSTEM (Maintenance and Warehouse Building)
MCBD,component,Control Board (Main),,,IEEE 803.1-1992,
MCC,component,"Control Center, Motor",,,IEEE 803.1-1992,
MDR,component,Modulator,,,IEEE 803.1-1992,
MDTR,component,"Detector, Metal",,,IEEE 803.1-1992,
ME,component,"Primary Element, Moisture",,,ISA S5.1-1984,
MG,component,"Generator Set, Motor",,,IEEE 803.1-1992,code also a SYSTEM (Wastewater Outfall Structure)
MH,component,Manhole,,,IEEE 803.1-1992,code also a SYSTEM (Water Treatment Building)
MI,component,"Indicator, Moisture",,,ISA S5.1-1984,
MIC,component,"Control, Indicating, Moisture",,,ISA S5.1-1984,
MIK,component,"Control Station, Indicating, Moisture",,,ISA S5.1-1984,
MIKE,component,Microphone,,,IEEE 803.1-1992,
MIS,component,"Switch, Indicating, Moisture",,,ISA S5.1-1984,
MIT,component,"Transmitter, Indicating, Moisture",,,IEEE 803.1-1992,
MIX,component,Mixer,,,IEEE 803.1-1992,
MJB,component,"Breaker, Junction, Monitored",,,IEEE 803.1-1992,
MM,component,"Modifier, Moisture",,,IEEE 803.1-1992,
MO,component,Motor,,,IEEE 803.1-1992,
MOD,component,"Disconnect, Motor Operated",,,IEEE 803.1-1992,
MODE,component,Modem (Combined Modulator-Demodulator),,,IEEE 803.1-1992,
MON,component,Monitor,,,IEEE 803.1-1992,
MPX,component,Multiplexer,,,IEEE 803.1-1992,
MR,component,"Recorder, Moisture",,,ISA S5.1-1984,
MRBD,component,"Board, Main Relay (SWYD)",,,IEEE 803.1-1992,
MRC,component,"Control, Recording, Moisture",,,ISA S5.1-1984,
MS,component,"Switch, Moisture",,,ISA S5.1-1984,
MSHD,component,"Shield, Missile",,,IEEE 803.1-1992,
MSR,component,"Separator, Reheater, Moisture",,,IEEE 803.1-1992,
MSTR,component,"Motor, Starter",,,IEEE 803.1-1992,
MT,component,"Transmitter, Moisture",,,ISA S5.1-1984,
MTR,component,Meter,,,IEEE 803.1-1992,
MWRX,component,"Receiver, Microwave",,,IEEE 803.1-1992,
MWTX,component,"Transmitter, Microwave",,,IEEE 803.1-1992,
NEU,component,Neutralizer,,,IEEE 803.1-1992,
NSBU,component,"Bus, Nonsegregrating PH, Metal Enclosure",,,IEEE 803.1-1992,
NZL,component,Nozzle,,,IEEE 803.1-1992,
OB,component,"Isolator, Optic",,,ISA S5.1-1984,
OBX,component,"Box, Outlet",,,IEEE 803.1-1992,
ODSK,component,"Desk, Operators",,,IEEE 803.1-1992,
OGUN,component,"Gun, Oil",,,IEEE 803.1-1992,
OHM,component,"Meter, Q Hour",,,IEEE 803.1-1992,
OR,component,Pressure Breakdown Device (See: Orifice),,,IEEE 803.1-1992,
OSC,component,Oscilloscope 19,,,IEEE 803.1-1992,
OSG,component,Oscillograph,,,IEEE 803.1-1992,
OSL,component,Oscillator,,,IEEE 803.1-1992,
OUT,component,Outlet,,,IEEE 803.1-1992,
OWND,component,"Window, Observation",,,IEEE 803.1-1992,
OXID,component,Oxidizer,,,IEEE 803.1-1992,
P,component,Pump,,,IEEE 803.1-1992,
PA,component,"Alarm, Pressure",,,ISA S5.1-1984,
PB,component,"Isolator, Pressure",,,ISA S5.1-1984,
PBX,component,"Box, Pull",,,IEEE 803.1-1992,
PC,component,"Control, Pressure",,,ISA S5.1-1984,
PCO,component,"Control Operator, Pressure",,,IEEE 803.1-1992,
PCP,component,Precipitator,,,IEEE 803.1-1992,
PCV,component,"Valve, Control, Pressure",,,ISA S5.1-1984,
PD,component,Potential Device,,,IEEE 803.1-1992,
PDA,component,"Alarm, Differential, Pressure",,,ISA S5.1-1984,
PDB,component,"Isolator, Differential, Pressure",,,ISA S5.1-1984,
PDC,component,"Control, Differential, Pressure",,,ISA S5.1-1984,
PDCO,component,"Control Operator, Differential, Pressure",,,IEEE 803.1-1992,
PDCV,component,"Valve, Control, Differential, Pressure Device)",,,ISA S5.1-1984,
PDE,component,"Primary Element, Differential, Pressure",,,ISA S5.1-1984,
PDI,component,"Indicator, Differential, Pressure",,,ISA S5.1-1984,
PDIC,component,"Control, Indicating, Differential, Pressure",,,ISA S5.1-1984,
PDIK,component,"Control Station, Indicating, Differential,",,,IEEE 803.1-1992,
PDIS,component,"Switch, Indicating, Differential, Pressure",,,ISA S5.1-1984,
PDIT,component,"Transmitter, Indicating, Differential,",,,IEEE 803.1-1992,
PDM,component,"Modifier, Differential, Pressure",,,IEEE 803.1-1992,
PDR,component,"Recorder, Differential Pressure",,,ISA S5.1-1984,
PDRC,component,"Control, Recording, Differential, Pressure",,,ISA S5.1-1984,
PDRK,component,"Control Station, Recording, Differential",,,IEEE 803.1-1992,
PDS,component,"Switch, Differential, Pressure",,,ISA S5.1-1984,
PDSV,component,"Valve, Solenoid, Differential, Pressure",,,IEEE 803.1-1992,
PDT,component,"Transmitter, Differential, Pressure",,,ISA S5.1-1984,
PE,component,"Primary Element, Pressure",,,ISA S5.1-1984,
PEC,component,Photoelectric Cell,,,IEEE 803.1-1992,
PED,component,Pedestal,,,IEEE 803.1-1992,
PEN,component,Penetration,,,IEEE 803.1-1992,
PFM,component,"Meter, Power Factor",,,IEEE 803.1-1992,
PFR,component,Purifier,,,IEEE 803.1-1992,
PHA,component,"Analyzer, PH",,,IEEE 803.1-1992,
PHE,component,Primary Element,,,IEEE 803.1-1992,
PI,component,"Indicator, Pressure",,,ISA S5.1-1984,
PIC,component,"Control, Indicating, Pressure",,,ISA S5.1-1984,
PIK,component,"Control Station, Indicating, Pressure",,,ISA S5.1-1984,
PIM,component,"Modifier, Indicator, Pressure",,,IEEE 803.1-1992,
PIS,component,"Switch, Indicating, Pressure",,,ISA S5.1-1984,
PIT,component,"Transmitter, Indicating, Pressure",,,ISA S5.1-1984,
PJR,component,Projector,,,IEEE 803.1-1992,
PKLT,component,Parking Lot,,,IEEE 803.1-1992,
PL,component,Panel,,,IEEE 803.1-1992,
PLAT,component,Platform,,,IEEE 803.1-1992,
PLAY,component,Player,,,IEEE 803.1-1992,
PLCR,component,"Carrier, Power Line",,,IEEE 803.1-1992,
PLOT,component,Printer/Plotter,,,IEEE 803.1-1992,
PM,component,"Modifier, Pressure",,,IEEE 803.1-1992,
PMC,component,"Controller, Programmable",,,IEEE 803.1-1992,
PMG,component,"Generator, Permanent Magnet",,,IEEE 803.1-1992,
PR,component,"Recorder, Pressure",,,ISA S5.1-1984,
PRC,component,"Control, Recording, Pressure",,,ISA S5.1-1984,
PRK,component,"Control Station, Recording, Pressure",,,ISA S5.1-1984,
PRNT,component,Printer,,,IEEE 803.1-1992,
PS,component,"Switch, Pressure",,,ISA S5.1-1984,
PSD,component,"Reactor, Phase Correction (See: Phase Shifting",,,IEEE 803.1-1992,
PSF,component,Pipe Fittings,,,IEEE 803.1-1992,
PSP,component,Pipe (Spool),,,IEEE 803.1-1992,
PSV,component,"Valve, Solenoid, Pressure",,,IEEE 803.1-1992,
PSX,component,Piping Specialities,,,IEEE 803.1-1992,
PULV,component,Pulverizer,,,IEEE 803.1-1992,
PYRO,component,Pyrometer,,,IEEE 803.1-1992,
QHM,component,"Meter, Q Hour",,,IEEE 803.1-1992,
RA,component,"Alarm, Radiation",,,ISA S5.1-1984,
RADO,component,Radio,,,IEEE 803.1-1992,
RADS,component,"Source, Radiation",,,IEEE 803.1-1992,
RBLR,component,Reboiler,,,IEEE 803.1-1992,
RCB,component,Recombiner,,,IEEE 803.1-1992,
RCL,component,Reclaimer,,,IEEE 803.1-1992,
RCP,component,Receptacle,,,IEEE 803.1-1992,
RCT,component,Reactor (Nuclear),,,IEEE 803.1-1992,
RCV,component,Receiver,,,IEEE 803.1-1992,
RDR,component,Reader,,,IEEE 803.1-1992,
RE,component,"Primary Element, Radiation",,,ISA S5.1-1984,
RECT,component,Rectifier,,,IEEE 803.1-1992,
REF,component,Refrigerator,,,IEEE 803.1-1992,
RES,component,"Resistor, Grounding",,,IEEE 803.1-1992,
RFL,component,Reflector,,,IEEE 803.1-1992,
RFR,component,Refractor,,,IEEE 803.1-1992,
RFU,component,Refrigeration Unit,,,IEEE 803.1-1992,
RG,component,Regulator,,,IEEE 803.1-1992,
RGEN,component,Regenerator,,,IEEE 803.1-1992,
RGR,component,"Gear, Reduction 20 IEEE",,,IEEE 803.1-1992,
RHE,component,Rheostat,,,IEEE 803.1-1992,
RHTR,component,Reheater,,,IEEE 803.1-1992,
RI,component,"Indicator, Radiation",,,ISA S5.1-1984,
RIBD,component,"Board, Recorder Instrument (SWYD)",,,IEEE 803.1-1992,
RIS,component,"Switch, Indicating, Radiation",,,ISA S5.1-1984,
RIT,component,"Transmitter, Indicating, Radiation",,,ISA S5.1-1984,
RJX,component,"Power Supply, Electric, Regulated",,,IEEE 803.1-1992,
RK,component,Rack,,,IEEE 803.1-1992,
RLRD,component,Railroad,,,IEEE 803.1-1992,
RLY,component,Relay,,,IEEE 803.1-1992,
RM,component,"Modifier, Radiation",,,IEEE 803.1-1992,
ROAD,component,Road,,,IEEE 803.1-1992,
ROD,component,Rod,,,IEEE 803.1-1992,
ROU,component,"Osmosis Unit, Reverse",,,IEEE 803.1-1992,
RPD,component,Rupture Disc,,,IEEE 803.1-1992,
RPV,component,"Vessel, Reactor",,,IEEE 803.1-1992,
RR,component,"Recorder, Radiation",,,ISA S5.1-1984,
RT,component,"Transmitter, Radiation",,,ISA S5.1-1984,
RTV,component,"Valve, Root",,,IEEE 803.1-1992,
RV,component,"Valve, Relief Package)",,,IEEE 803.1-1992,
RVR,component,Reservoir,,,IEEE 803.1-1992,
SA,component,"Alarm, speed",,,ISA S5.1-1984,code also a SYSTEM (Auxiliary Steam System)
SAMP,component,Sampler,,,IEEE 803.1-1992,
SB,component,"Isolator, Speed",,,ISA S5.1-1984,code also a SYSTEM (Main/Reheat Steam System)
SBLO,component,"Blower, Soot",,,IEEE 803.1-1992,
SBX,component,"Box, Splitter",,,IEEE 803.1-1992,
SC,component,"Control, Speed",,,ISA S5.1-1984,
SCB,component,Scrubber,,,IEEE 803.1-1992,
SCL,component,Scale,,,IEEE 803.1-1992,
SCN,component,Screen,,,IEEE 803.1-1992,
SCO,component,"Control Operator, Speed",,,IEEE 803.1-1992,
SCR,component,"Rectifier, Silicon Controlled",,,IEEE 803.1-1992,
SCRD,component,"Card Reader, Security",,,IEEE 803.1-1992,
SCRP,component,Scraper,,,IEEE 803.1-1992,
SCV,component,"Valve, Control, Speed",,,ISA S5.1-1984,
SD,component,Steam Drum,,,IEEE 803.1-1992,code also a SYSTEM (Condensate System)
SE,component,"Primary Element, Speed",,,ISA S5.1-1984,code also a SYSTEM (Steam Extraction System)
SEAL,component,Seal,,,IEEE 803.1-1992,
SEL,component,Selector,,,IEEE 803.1-1992,
SEP,component,Separator,,,IEEE 803.1-1992,
SESE,component,"Primary Element, Seismic",,,IEEE 803.1-1992,
SESR,component,"Recorder, Seismic",,,IEEE 803.1-1992,
SEWL,component,Sea Wall,,,IEEE 803.1-1992,
SG,component,"Generator, Steam",,,IEEE 803.1-1992,code also a SYSTEM (Condenser System)
SH,component,Superheater,,,IEEE 803.1-1992,code also a SYSTEM (Condenser Vacuum System)
SHR,component,Shower,,,IEEE 803.1-1992,
SHTR,component,"Heater, Steam",,,IEEE 803.1-1992,
SHV,component,"Valve, Shutoff",,,IEEE 803.1-1992,
SI,component,"Indicator, Speed",,,ISA S5.1-1984,code also a SYSTEM (Condenser Tube Cleaning System)
SIC,component,"Control, Indicating, Speed",,,ISA S5.1-1984,
SIK,component,"Control Station, Indicating, Speed",,,ISA S5.1-1984,
SIL,component,Silencer,,,IEEE 803.1-1992,
SILO,component,Silo,,,IEEE 803.1-1992,
SIS,component,"Switch, Indicating, Speed",,,ISA S5.1-1984,
SIT,component,"Transmitter, Indicating, Speed",,,ISA S5.1-1984,
SKR,component,Skimmer,,,IEEE 803.1-1992,
SLKR,component,Slaker,,,IEEE 803.1-1992,
SLV,component,Sleeve,,,IEEE 803.1-1992,
SM,component,"Modifier, Speed",,,IEEE 803.1-1992,code also a SYSTEM (LP Heater Drains and Vents System)
SMV,component,"Valve, Sample",,,IEEE 803.1-1992,
SNB,component,Snubber,,,IEEE 803.1-1992,
SNK,component,Sink,,,IEEE 803.1-1992,
SOL,component,Solenoid,,,IEEE 803.1-1992,
SPK,component,Speaker,,,IEEE 803.1-1992,
SPL,component,"Splitter, RF",,,IEEE 803.1-1992,
SPP,component,"Protector, Surge (See: Surge Protection",,,IEEE 803.1-1992,
SPT,component,Support,,,IEEE 803.1-1992,
SPTR,component,Spectrometer,,,IEEE 803.1-1992,
SPWY,component,Spillway,,,IEEE 803.1-1992,
SR,component,"Recorder, Speed",,,ISA S5.1-1984,
SRC,component,"Control, Recording, Speed",,,ISA S5.1-1984,
SRNK,component,Sprinkler,,,IEEE 803.1-1992,
SS,component,"Switch, Speed",,,ISA S5.1-1984,
SSBU,component,"Bus, Substation",,,IEEE 803.1-1992,
SSHR,component,"Shower, Safety",,,IEEE 803.1-1992,
SSV,component,"Valve, Solenoid, Speed",,,IEEE 803.1-1992,
ST,component,"Transmitter, Speed",,,ISA S5.1-1984,
STA,component,Stair,,,IEEE 803.1-1992,
STC,component,"Controller, Step",,,IEEE 803.1-1992,
STKR,component,Stacker,,,IEEE 803.1-1992,
STLG,component,Stop Log,,,IEEE 803.1-1992,
STR,component,Strainer,,,IEEE 803.1-1992,
STRC,component,Stacker/Reclaimer,,,IEEE 803.1-1992,
SUMP,component,Sump,,,IEEE 803.1-1992,
SWGR,component,Switchgear,,,IEEE 803.1-1992,
SYN,component,Synchronoscope,,,IEEE 803.1-1992,
TA,component,"Alarm, Temperature",,,ISA S5.1-1984,code also a SYSTEM (Main Turbine System)
TAC,component,Tachometer,,,IEEE 803.1-1992,
TB,component,"Isolator, Temperature",,,ISA S5.1-1984,code also a SYSTEM (Main Generator System)
TBG,component,Tubing,,,IEEE 803.1-1992,
TBLK,component,"Block, Trip Cutout",,,IEEE 803.1-1992,
TC,component,"Control, Temperature",,,ISA S5.1-1984,code also a SYSTEM (Turbine Steam Seal System)
TCO,component,"Control Operator, Temperature",,,IEEE 803.1-1992,
TCV,component,"Valve, Control, Temperature",,,ISA S5.1-1984,
TD,component,Transducer 21 IEEE,,,IEEE 803.1-1992,code also a SYSTEM (Turbine Lube Oil System)
TDB,component,"Isolator, Differential, Temperature",,,ISA S5.1-1984,
TDC,component,"Control, Differential, Temperature",,,ISA S5.1-1984,
TDI,component,"Indicator, Differential, Temperature",,,IEEE 803.1-1992,
TDIT,component,"Transmitter, Indicating, Differential,",,,IEEE 803.1-1992,
TDM,component,"Modifier, Differential, Temperature",,,IEEE 803.1-1992,
TDR,component,"Recorder, Differential Temperature",,,ISA S5.1-1984,
TDS,component,"Switch, Differential, Temperature",,,ISA S5.1-1984,
TDT,component,"Transmitter, Differential, Temperature",,,ISA S5.1-1984,
TE,component,"Primary Element, Temperature",,,ISA S5.1-1984,code also a SYSTEM (Miscellaneous Turbine Vents System)
TEL,component,Telephone,,,IEEE 803.1-1992,
TELE,component,Television,,,IEEE 803.1-1992,
TG,component,"Generator, Turbine",,,IEEE 803.1-1992,code also a SYSTEM (Main Turbine Control Fluid System)
TGR,component,"Gear, Turning",,,IEEE 803.1-1992,
TH,component,Thermostat,,,IEEE 803.1-1992,code also a SYSTEM (Main Generator Gas Purge System)
TI,component,"Indicator, Temperature",,,ISA S5.1-1984,code also a SYSTEM (Main Generator Seal Oil System)
TIC,component,"Control, Indicating, Temperature",,,ISA S5.1-1984,
TIK,component,"Control Station, Indicating, Temperature",,,IEEE 803.1-1992,
TIS,component,"Switch, Indicating, Temperature",,,ISA S5.1-1984,
TIT,component,"Transmitter, Indicating, Temperature",,,ISA S5.1-1984,
TK,component,Tank,,,IEEE 803.1-1992,code also a SYSTEM (Main Generator Hydrogen Cooling System)
TLM,component,Telemeter,,,IEEE 803.1-1992,
TM,component,"Modifier, Temperature",,,IEEE 803.1-1992,
TMR,component,Timer,,,IEEE 803.1-1992,
TMRC,component,Transmitter-Receiver,,,IEEE 803.1-1992,
TMTR,component,"Meter, Temperature",,,IEEE 803.1-1992,
TPR,component,Tripper,,,IEEE 803.1-1992,
TPRB,component,"Probe, Temperature",,,IEEE 803.1-1992,
TPW,component,Typewriter,,,IEEE 803.1-1992,
TR,component,"Recorder, Temperature",,,ISA S5.1-1984,
TRB,component,Turbine,,,IEEE 803.1-1992,
TRC,component,"Control, Recording, Temperature",,,ISA S5.1-1984,
TRK,component,"Control Station, Recording, Temperature",,,ISA S5.1-1984,
TRLY,component,Trolley,,,IEEE 803.1-1992,
TRNS,component,Turnstile,,,IEEE 803.1-1992,
TRP,component,Trap,,,IEEE 803.1-1992,
TRS,component,"Switch, Recording, Temperature",,,ISA S5.1-1984,
TS,component,"Switch, Temperature",,,ISA S5.1-1984,
TSV,component,"Valve, Solenoid, Temperature",,,IEEE 803.1-1992,
TT,component,"Transmitter, Temperature",,,ISA S5.1-1984,
TTC,component,"Tap Changer, Transformer",,,IEEE 803.1-1992,
TTV,component,"Valve, Telltale",,,IEEE 803.1-1992,
TTY,component,Teletypewriter,,,IEEE 803.1-1992,
TUN,component,Tunnel,,,IEEE 803.1-1992,
TUR,component,Turret,,,IEEE 803.1-1992,
TV,component,"Valve, Test",,,IEEE 803.1-1992,
TVC,component,"Camera, TV",,,IEEE 803.1-1992,
TW,component,Thermowell,,,IEEE 803.1-1992,
TWR,component,Tower,,,IEEE 803.1-1992,
TY,component,"Tray, Cable",,,IEEE 803.1-1992,
UDMP,component,"Damper, Unidirectional (Back-Draft)",,,IEEE 803.1-1992,
UJX,component,"Power Supply, Uninterruptible",,,IEEE 803.1-1992,
UNLD,component,Unloader,,,IEEE 803.1-1992,
URN,component,Urinal,,,IEEE 803.1-1992,
USC,component,Ultrasonic Cleaner,,,IEEE 803.1-1992,
USS,component,Unit Substation,,,IEEE 803.1-1992,
V,component,Valve,,,IEEE 803.1-1992,
VA,component,"Alarm, Vibration",,,ISA S5.1-1984,code also a SYSTEM (Reactor Building Environmental Control System)
VACB,component,"Breaker, Vacuum",,,IEEE 803.1-1992,
VACP,component,"Pump, Vacuum",,,IEEE 803.1-1992,
VARM,component,"Meter, Var (Voltampere-Reactive)",,,IEEE 803.1-1992,
VART,component,"Transmitter, (Voltampere-Reactive)",,,IEEE 803.1-1992,
VB,component,"Isolator, Vibration",,,ISA S5.1-1984,code also a SYSTEM (Drywell Environmental Control System (BWR))
VBR,component,Vibrator,,,IEEE 803.1-1992,
VBX,component,"Box, Valve",,,IEEE 803.1-1992,
VE,component,"Primary Element, Vibration",,,ISA S5.1-1984,code also a SYSTEM (Access Corridors Environmental Control System)
VI,component,"Indicator, Vibration",,,ISA S5.1-1984,code also a SYSTEM (Control Building/Control Complex Environmental Control System)
VIBM,component,"Meter, Vibration",,,IEEE 803.1-1992,
VIS,component,"Switch, Indicating, Vibration",,,ISA S5.1-1984,
VISA,component,"Analyzer, Viscosity",,,IEEE 803.1-1992,
VIT,component,"Transmitter, Indicating, Vibration",,,ISA S5.1-1984,
VLR,component,Ventilator,,,IEEE 803.1-1992,
VM,component,"Modifier, Vibration",,,IEEE 803.1-1992,
VOP,component,"Operator, Valve",,,IEEE 803.1-1992,
VPR,component,Vaporizer,,,IEEE 803.1-1992,
VR,component,"Recorder, Vibration",,,ISA S5.1-1984,
VRC,component,Variac,,,IEEE 803.1-1992,
VS,component,"Switch, Vibration",,,ISA S5.1-1984,
VSL,component,Vessel,,,IEEE 803.1-1992,
VSM,component,"Meter, Voltage Squared",,,IEEE 803.1-1992,
VT,component,"Transmitter, Vibration",,,ISA S5.1-1984,
VTV,component,"Valve, Vent",,,IEEE 803.1-1992,
VUH,component,Unit Heater,,,IEEE 803.1-1992,
VX,component,"Extractor, Vapor",,,IEEE 803.1-1992,
WA,component,"Alarm, Weight or Force",,,ISA S5.1-1984,code also a SYSTEM (Cask Decontamination System)
WB,component,"Isolator, Weight or Force",,,ISA S5.1-1984,code also a SYSTEM (Solid Waste Management System)
WBLR,component,"Boiler, Waste Heat",,,IEEE 803.1-1992,
WC,component,Water Closet,,,IEEE 803.1-1992,
WE,component,"Primary Element, Weight or Force",,,IEEE 803.1-1992,code also a SYSTEM (Gaseous Waste Management System (PWR))
WEIR,component,Weir,,,IEEE 803.1-1992,
WEL,component,"Wire, Electrical",,,IEEE 803.1-1992,
WGU,component,Wave Guide,,,IEEE 803.1-1992,
WGUN,component,"Gun, Warmup",,,IEEE 803.1-1992,
WHA,component,Water Hammer Arrestor,,,IEEE 803.1-1992,
WHM,component,"Meter, Watthour 22 IEEE",,,IEEE 803.1-1992,
WI,component,"Indicator, Weight or Force",,,ISA S5.1-1984,code also a SYSTEM (Steam Generator Blowdown System (PWR))
WIS,component,"Switch, Indicating, Weight or Force",,,ISA S5.1-1984,
WIT,component,"Transmitter, Indicating, Weight or Force",,,ISA S5.1-1984,
WM,component,"Modifier, Weight or Force",,,IEEE 803.1-1992,
WNE,component,"Wire, Nonelectrical",,,IEEE 803.1-1992,
WR,component,"Recorder, Weight or Force",,,ISA S5.1-1984,
WRE,component,"Primary Element, Wear",,,IEEE 803.1-1992,
WSH,component,"Washer, Air",,,IEEE 803.1-1992,
WSM,component,Wash Machine,,,IEEE 803.1-1992,
WW,component,Waterwall,,,IEEE 803.1-1992,
XA,component,"Alarm, Special",,,ISA S5.1-1984,
XB,component,"Isolator, Special",,,ISA S5.1-1984,
XC,component,"Control, Special",,,ISA S5.1-1984,
XCO,component,"Control Operator, Special",,,IEEE 803.1-1992,
XCT,component,"Transformer, Current",,,IEEE 803.1-1992,
XCV,component,"Valve, Control, Special",,,IEEE 803.1-1992,
XFMR,component,Transformer,,,IEEE 803.1-1992,
XI,component,"Indicator, Special",,,ISA S5.1-1984,
XIC,component,"Control, Indicating, Special",,,ISA S5.1-1984,
XIK,component,"Control Station, Indicating, Special",,,ISA S5.1-1984,
XIS,component,"Switch, Indicating, Special",,,ISA S5.1-1984,
XIT,component,"Transmitter, Indicating, Special",,,ISA S5.1-1984,
XM,component,"Modifier, Special",,,IEEE 803.1-1992,
XPT,component,"Transformer, Potential",,,IEEE 803.1-1992,
XR,component,"Recorder, Special",,,ISA S5.1-1984,
XRAY,component,"Unit, Security, X-Ray",,,IEEE 803.1-1992,
XRC,component,"Control, Recording, Special",,,ISA S5.1-1984,
XRK,component,"Control Station, Recording, Special",,,ISA S5.1-1984,
XT,component,"Transmitter, Special",,,ISA S5.1-1984,
ZA,component,"Alarm, Zone (Position)",,,ISA S5.1-1984,
ZC,component,"Control, Zone (Position)",,,ISA S5.1-1984,
ZE,component,"Primary Element, Zone (Position)",,,ISA S5.1-1984,
ZI,component,"Indicator, Zone (Position)",,,ISA S5.1-1984,
ZIC,component,"Control, Indicating, Zone (Position)",,,ISA S5.1-1984,
ZIS,component,"Switch, Indicating, Zone (Position)",,,ISA S5.1-1984,
ZM,component,"Modifier, Zone (Position)",,,IEEE 803.1-1992,
ZS,component,"Switch, Limit (Zone)",,,ISA S5.1-1984,
ZT,component,"Transmitter, Zone (Position) Footnote 2. Footnote 1. 23",,,IEEE 803.1-1992,
